PRIMARY,DETAILED,DESCRIPTION,Name w/out 'Primary',Alternate names,Would we group?,PLAIDEGORY,DiffsNewTaxonomy2022Category,PLAIDEGORY 2.0,Cleo_Default,Ideas Olly,Ideas Giulia,Best Cleo Default category [WIP],,,,,,,,,,,,,,,
INCOME,INCOME_DIVIDENDS,Dividends from investment accounts,dividends,,,Dividends,Income,Dividends,Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_INTEREST_EARNED,Income from interest on savings accounts,interest earned ,interest,,Interest,Income,Interest,Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_RETIREMENT_PENSION,Income from pension payments,retirement pension ,pension,,Pension,Income,Pension,Recurring Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_TAX_REFUND,Income from tax refunds,tax refund,,,Tax refund,Income,Tax refund,Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_UNEMPLOYMENT,"Income from unemployment benefits, including unemployment insurance and healthcare",unemployment ,,,Unemployment,Income,Unemployment,Recurring Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_WAGES,"Income from salaries, gig-economy work, and tips earned",wages ,income,,Income,Income,Income,Recurring Income,,,Income,,,,,,,,,,,,,,,
INCOME,INCOME_OTHER_INCOME,"Other miscellaneous income, including alimony, social security, child support, and rental",other income,,,Other income,Income,Other income,Income,,,Income,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_CASH_ADVANCES_AND_LOANS,Loans and cash advances deposited into a bank account,cash advances and loans ,loans; advances and loans,,Transfers,Transfers & Cash,Loans,Loans,,Should this be 'Loan?',Loans,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_DEPOSIT,"Cash, checks, and ATM deposits into a bank account",deposit,,,Transfers,Transfers & Cash,Transfers,Cash,,,Income,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,Inbound transfers to an investment or retirement account,investment and retirement funds ,investments and retirement ,,Transfers,Savings & Investments,Savings & Investments,Savings,,,Income,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_SAVINGS,Inbound transfers to a savings account,savings,,,Transfers,Savings & Investments,Savings & Investments,Savings,,,Income,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER,General inbound transfers from another account,account transfer,,,Transfers,Transfers & Cash,Transfers,Income,,,Income,,,,,,,,,,,,,,,
TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN,Other miscellaneous inbound transactions,other transfer in,other transfer,,Transfers,Transfers & Cash,Transfers,Income,,,Income,,,,,,,,,,,,,,,
TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,"Transfers to an investment or retirement account, including investment apps such as Acorns, Betterment",investment and retirement funds ,investment and retirement,"could we recategorize lines 15-16 as ""savings"" rather than ""transfer out""? would just have to delineate ""savings"" vs. ""cleo savings""",Transfers,Savings & Investments,Savings & Investments,Savings,,,Transfer Out,,,,,,,,,,,,,,,
TRANSFER_OUT,TRANSFER_OUT_SAVINGS,Outbound transfers to savings accounts,savings,,,Transfers,Savings & Investments,Savings & Investments,Savings,,,Transfer Out,,,,,,,,,,,,,,,
TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL,Withdrawals from a bank account,withdrawal,,,Transfers,Transfers & Cash,Transfers,Cash,,,Transfer Out,,,,,,,,,,,,,,,
